ID,yearID,teamID,Rank,R,RA,G,W,H,BB,HBP,AB,SF,HR,2B,3B,salary,BA,OBP,SLG
110,1989,DET,7,617,816,162,59,1315,585,,5432,,116,198,24,15146404,0.242083946981,0.315771979392,0.351435935199
111,1989,OAK,1,712,576,162,99,1414,562,,5416,,127,220,25,15613070,0.261078286558,0.330545332887,0.381277695716
112,1989,KCA,2,690,635,162,92,1428,554,,5475,,101,227,41,18683568,0.260821917808,0.328744402057,0.372602739726
113,1989,CAL,3,669,578,162,91,1422,429,,5545,,145,208,37,15097833,0.256447249775,0.30984265149,0.385752930568
114,1989,TEX,4,695,714,162,83,1433,503,,5458,,122,260,46,11893781,0.262550384756,0.324777721859,0.394100403078
115,1989,MIN,5,740,738,162,80,1542,478,,5581,,117,278,35,15531666,0.276294570865,0.333388347912,0.401540942483
116,1989,SEA,6,694,728,162,73,1417,489,,5512,,134,237,29,9779500,0.257075471698,0.317613731045,0.383526850508
117,1989,CHA,7,693,750,161,69,1493,464,,5504,,94,262,36,7265410,0.271257267442,0.327915549598,0.383175872093
118,1989,CHN,1,702,623,162,93,1438,472,,5513,,124,235,45,10668000,0.260838019227,0.319131161236,0.387266461092
119,1989,NYN,2,683,595,162,87,1351,504,,5489,,147,280,21,19885071,0.246128620878,0.309527782413,0.385133904172
120,1989,SLN,3,632,608,164,86,1418,507,,5492,,73,263,47,16078833,0.258193736344,0.320886814469,0.363073561544
121,1989,MON,4,632,630,162,81,1353,572,,5482,,100,267,30,13807389,0.246807734404,0.317971589032,0.361182050347
122,1989,PIT,5,637,680,164,74,1334,563,,5539,,95,263,53,12737500,0.240837696335,0.310881678138,0.35890955046
123,1989,PHI,6,629,735,163,67,1324,558,,5447,,123,215,36,10604000,0.243069579585,0.31340549542,0.363502845603
124,1989,SFN,1,699,600,162,92,1365,508,,5469,,141,241,52,14962834,0.249588590236,0.313367910323,0.390016456391
125,1989,SDN,2,642,626,162,89,1360,552,,5422,,120,215,32,14195000,0.250829952047,0.32005356545,0.368683142752
126,1989,HOU,3,647,669,162,86,1316,530,,5516,,97,239,28,15029500,0.238578680203,0.305325835263,0.344815083394
127,1989,LAN,4,554,536,160,77,1313,507,,5465,,89,241,17,21071562,0.240256175663,0.304755525787,0.339432753888
128,1989,CIN,5,632,691,162,75,1362,493,,5520,,128,243,28,11072000,0.246739130435,0.308498253783,0.370471014493
129,1989,ATL,6,584,680,161,63,1281,485,,5463,,128,201,22,11112334,0.234486545854,0.296906523201,0.349624748307
130,1990,BOS,1,699,664,162,88,1502,598,,5516,,106,298,31,20558333,0.272298767223,0.343473994112,0.395213923133
131,1990,TOR,2,767,661,162,86,1479,526,,5589,,167,263,50,17756834,0.264626945786,0.327882256746,0.419216317767
132,1990,DET,3,750,754,162,79,1418,634,,5479,,172,241,32,17593238,0.258806351524,0.335678063144,0.408651213725
133,1990,CLE,4,732,737,162,77,1465,458,,5485,,110,266,41,14487000,0.26709206928,0.323573952549,0.390701914312
134,1990,BAL,5,669,698,161,76,1328,660,,5410,,132,234,22,9680084,0.245471349353,0.327512355848,0.370055452865
